Model,MAE,RMSE,R2 Score
Linear Regression,85147.70176158448,113027.96877069992,0.6932257613280117
Random Forest,52909.46423602484,77216.30842630718,0.8568256859878417
Gradient Boosting,59196.061076459315,82492.03273810804,0.8365928513113982
